id_programacion,id_centro_vacunacion,fecha_programacion,rango_inicial_edad,rango_final_edad
3431,62,30/06/2021,54,55
3432,673,30/06/2021,54,55
3433,673,2/07/2021,54,55
3434,3,30/06/2021,54,55
3435,674,30/06/2021,54,55
3436,247,30/06/2021,54,55
3437,47,30/06/2021,54,55
3438,51,30/06/2021,54,55
3439,893,30/06/2021,54,55
3440,26,30/06/2021,54,55
3441,15,30/06/2021,54,55
3442,45,30/06/2021,54,55
3443,890,30/06/2021,54,55
3444,890,30/06/2021,54,55
3445,8,30/06/2021,54,55
3446,24,30/06/2021,54,55
3447,29,30/06/2021,54,55
3448,519,30/06/2021,54,55
3449,5,30/06/2021,54,55
3450,3,30/06/2021,54,55
3451,17,30/06/2021,54,55
3408,40,30/06/2021,54,55
3409,22,30/06/2021,54,55
3410,31,30/06/2021,54,55
3411,244,30/06/2021,54,55
3412,891,30/06/2021,54,55
3413,21,30/06/2021,54,55
3414,520,30/06/2021,54,55
3415,23,30/06/2021,54,55
3416,892,30/06/2021,54,55
3417,670,30/06/2021,54,55
3418,891,30/06/2021,54,55
3419,11,30/06/2021,54,55
3420,43,30/06/2021,54,55
3421,672,30/06/2021,54,55
3422,752,30/06/2021,54,55
3423,59,30/06/2021,54,55
3424,246,30/06/2021,54,55
3425,2034,30/06/2021,54,55
3426,51,30/06/2021,54,55
3427,3,30/06/2021,54,55
3428,6,30/06/2021,54,55
3429,60,30/06/2021,54,55
3430,25,30/06/2021,54,55
3475,22,30/06/2021,54,55
3476,10,30/06/2021,54,55
3477,252,30/06/2021,54,55
3478,39,30/06/2021,54,55
3479,28,30/06/2021,54,55
3480,678,30/06/2021,54,55
3481,54,30/06/2021,54,55
3482,679,30/06/2021,54,55
3483,16,30/06/2021,54,55
3484,668,3/07/2021,52,53
3485,48,3/07/2021,52,53
3486,58,3/07/2021,52,53
3487,668,3/07/2021,52,53
3488,58,3/07/2021,52,53
3489,2341,3/07/2021,52,53
3490,58,3/07/2021,52,53
3491,30,3/07/2021,52,53
3492,50,3/07/2021,52,53
3493,669,3/07/2021,52,53
3494,40,3/07/2021,52,53
3495,22,3/07/2021,52,53
3519,3,3/07/2021,52,53
3520,674,3/07/2021,52,53
3521,247,3/07/2021,52,53
3522,47,3/07/2021,52,53
3523,51,3/07/2021,52,53
3524,893,3/07/2021,52,53
3525,26,3/07/2021,52,53
3526,15,3/07/2021,52,53
3527,45,3/07/2021,52,53
3528,890,3/07/2021,52,53
3529,890,3/07/2021,52,53
3530,8,3/07/2021,52,53
3531,24,3/07/2021,52,53
3532,29,3/07/2021,52,53
3533,519,3/07/2021,52,53
3534,5,3/07/2021,52,53
3535,3,3/07/2021,52,53
3536,17,3/07/2021,52,53
3537,55,3/07/2021,52,53
3538,56,3/07/2021,52,53
3539,38,3/07/2021,52,53
3563,39,3/07/2021,52,53
3564,28,3/07/2021,52,53
3565,678,3/07/2021,52,53
3566,54,3/07/2021,52,53
3567,679,3/07/2021,52,53
3568,16,3/07/2021,52,53
3569,668,5/07/2021,50,51
3570,48,5/07/2021,50,51
3571,58,5/07/2021,50,51
3572,668,5/07/2021,50,51
3573,58,5/07/2021,50,51
3574,2341,5/07/2021,50,51
3575,58,5/07/2021,50,51
3576,30,5/07/2021,50,51
3577,50,5/07/2021,50,51
3578,669,5/07/2021,50,51
3579,40,5/07/2021,50,51
3580,22,5/07/2021,50,51
3581,31,5/07/2021,50,51
3582,244,5/07/2021,50,51
3583,891,5/07/2021,50,51
3607,47,5/07/2021,50,51
3608,51,5/07/2021,50,51
3609,893,5/07/2021,50,51
3610,26,5/07/2021,50,51
3611,15,5/07/2021,50,51
3612,45,5/07/2021,50,51
3613,890,5/07/2021,50,51
3614,890,5/07/2021,50,51
3615,8,5/07/2021,50,51
3616,24,5/07/2021,50,51
3617,29,5/07/2021,50,51
3618,519,5/07/2021,50,51
3619,5,5/07/2021,50,51
3620,3,5/07/2021,50,51
3621,17,5/07/2021,50,51
3622,55,5/07/2021,50,51
3623,56,5/07/2021,50,51
3624,38,5/07/2021,50,51
3625,57,5/07/2021,50,51
3626,19,5/07/2021,50,51
3627,890,5/07/2021,50,51
3651,679,5/07/2021,50,51
3652,16,5/07/2021,50,51
3653,2341,1/07/2021,54,55
3654,2341,3/07/2021,52,53
3655,2341,5/07/2021,50,51
3658,3,2/07/2021,54,55
3659,3,5/07/2021,50,51
3660,3,3/07/2021,52,53
3661,3,5/07/2021,50,51
3662,3,3/07/2021,52,53
3663,3,2/07/2021,54,55
3664,3,2/07/2021,54,55
3665,3,5/07/2021,50,51
3666,3,3/07/2021,52,53
3667,5,2/07/2021,54,55
3668,5,5/07/2021,50,51
3669,5,3/07/2021,52,53
3670,5,2/07/2021,54,55
3671,5,5/07/2021,50,51
3672,5,3/07/2021,52,53
3673,6,2/07/2021,54,55
1,5,30/04/2021,70,79
2,53,30/04/2021,70,79
3,17,30/04/2021,70,79
4,55,30/04/2021,70,79
5,56,30/04/2021,70,79
6,38,30/04/2021,70,79
7,57,30/04/2021,70,79
8,19,30/04/2021,70,79
9,248,30/04/2021,70,79
10,249,30/04/2021,70,79
11,46,30/04/2021,70,79
12,250,30/04/2021,70,79
13,62,30/04/2021,70,79
14,34,30/04/2021,70,79
15,251,30/04/2021,70,79
16,45,30/04/2021,70,79
17,27,30/04/2021,70,79
18,5,30/04/2021,70,79
19,22,30/04/2021,70,79
20,10,30/04/2021,70,79
21,252,30/04/2021,70,79
22,39,30/04/2021,70,79
45,15,23/04/2021,80,120
46,16,23/04/2021,80,120
47,29,23/04/2021,80,120
48,33,23/04/2021,80,120
49,5,23/04/2021,80,120
50,28,23/04/2021,80,120
51,23,23/04/2021,80,120
52,39,23/04/2021,80,120
53,40,23/04/2021,80,120
54,38,23/04/2021,80,120
55,12,23/04/2021,80,120
56,5,23/04/2021,80,120
57,519,23/04/2021,80,120
58,27,23/04/2021,80,120
59,5,23/04/2021,80,120
60,19,23/04/2021,80,120
61,9,23/04/2021,80,120
62,10,23/04/2021,80,120
63,11,23/04/2021,80,120
64,12,23/04/2021,80,120
89,83,26/04/2021,70,120
90,84,26/04/2021,70,120
91,85,26/04/2021,70,120
92,86,26/04/2021,70,120
93,87,26/04/2021,70,120
94,88,26/04/2021,70,120
95,89,26/04/2021,70,120
96,90,26/04/2021,70,120
97,91,27/04/2021,70,120
98,92,27/04/2021,70,120
99,93,27/04/2021,70,120
100,94,27/04/2021,70,120
